spectrum_key	peptide_key	number_of_nodes	number_of_edges
-8075243871719699760	3464211861741338456	13	34
-2930882340577428365	-1245983525525651137	12	25
-2478989495326661962	4885281803576604551	15	52
7763612635888751251	3570439050552151534	12	27
3805051793578414274	2491998502196946225	14	42
3678105839037073049	-599030286037297442	13	33
3815315231384587924	3570439050552151534	12	27
-6864836510242102137	5753763298208735006	12	26
3859305214949103264	-3855604382815201999	15	51
-6650446730623366267	-6188816532915686489	17	68
-1140620654870060283	1526271875777244526	9	8
-7389517287168696693	1526271875777244526	9	8
4851446091523740083	-5629245545953995641	17	67
-4887030720982084482	-2502103907318661911	13	35
3802138105761262136	5494518987991721523	12	25
-8073562004545646256	3571106396505272299	14	45
-5565386524597371531	-6188816532915686489	17	68
-1142197372543362561	1526271875777244526	9	8
3821465855255968325	-5711997489788294977	15	51
2516513558746007202	1747394130232235062	15	53
4854430150255635273	-2327580186528642643	15	51
-2687280089133000714	-5333751126872049407	14	43
-4238513543201748979	7326875935706676482	11	17
-2479530033218379883	1526271875777244526	9	8
8724385321113286967	-8546626484350481403	10	9
-5546449035559572783	4064794848197573901	13	33
-2687277543446229644	-8546626484350481403	10	9
8309565228779803414	1526271875777244526	9	8
-7463033875779815512	-8546626484350481403	10	9
-7187596851697241688	5753763298208735006	12	26
4969739202730445829	-8546626484350481403	10	9
-302226337721340498	5602135353673124542	13	36
-6689560178324872554	3911317517361566372	10	16
8758378908446932578	-8546626484350481403	10	9
-9148996862647240971	-2502103907318661911	13	35
-8376487271466251573	6703988564554266031	14	44
-4882581893025319870	7326875935706676482	11	17
7668335900204406824	5448629287632923944	14	42
691961030265991863	-6590446819685402054	16	51
-651628650755437277	7326875935706676482	11	17
688860220560172029	-7229122234444738036	9	8
6592241790826854040	8124257509195293846	13	34
8407087922200953256	5753763298208735006	12	26
691959315347892277	4530625241604008029	16	60
6623795250336144081	6550796982592730576	14	43
8908785598007783682	-2502103907318661911	13	35
-3763945641993658106	-6188816532915686489	17	68
8313874743600822202	1526271875777244526	9	8
-7467906407394749692	1526271875777244526	9	8
8772259724200516302	-8546626484350481403	10	9
5459091894045086358	-8649397444416634432	13	33
-6869289878179642181	6550796982592730576	14	43
7759058254816850607	-2502103907318661911	13	35
8755465186264253592	-3941091501782775424	12	17
-2366764373257695966	6550796982592730576	14	43
5352377302714797666	-8546626484350481403	10	9
-3763948458568238204	7326875935706676482	11	17
-2931429451209627295	-8546626484350481403	10	9
8908787450330033024	6703988564554266031	14	44
6348062261230796428	-8546626484350481403	10	9
2720298146858232160	-5012571972057607984	13	33
-2857291165448447541	1526271875777244526	9	8
3004671174984393771	-8546626484350481403	10	9
3335836620019756070	2668074036030438672	12	25
-486659486058529580	-2502103907318661911	13	35
2994407822003305085	-3089469186154918813	12	24
-2857288351052283063	1526271875777244526	9	8
-655639223882582003	4530625241604008029	16	60
5365518092512094926	-3941091501782775424	12	17
711963965726808644	828588425719391708	14	42
-2429744490051951710	-2807844156739947030	15	52
6238261229321721877	3570439050552151534	12	27
-653310655351662941	2668074036030438672	12	25
-500364317538346888	-8166843402349233581	14	43
2991494100365885575	-8546626484350481403	10	9
-2524636444953513707	4515382844660548380	17	60
715172322684854462	5753763298208735006	12	26
-8073018605918895038	7326875935706676482	11	17
-7182460657437670266	5753763298208735006	12	26
8591513977624367787	7326875935706676482	11	17
-2230944109733139900	6550796982592730576	14	43
-4233516917393179357	2668074036030438672	12	25
-1978414888696811339	-7287493187839878232	14	43
-7358798933877775094	1526271875777244526	9	8
4590898534183608496	1526271875777244526	9	8
-2564869765295612026	-7229122234444738036	9	8
-8300597083620650490	-2502103907318661911	13	35
-8290387623889777584	-5711997489788294977	15	51
6847136823138083079	1526271875777244526	9	8
-3035398970353386538	-2502103907318661911	13	35
3990929548602356026	1526271875777244526	9	8
5061779875240667705	-7722383911579279424	15	50
-8113357496339010863	8123358751276629834	12	26
2389960162252894285	8123358751276629834	12	26
-1616011932110106888	-2502103907318661911	13	35
-7240727370730038153	-2502103907318661911	13	35
-9017618198534841858	1526271875777244526	9	8
-7240724556303857931	-2502103907318661911	13	35
5004523463445772599	-8546626484350481403	10	9
-9014510415687776344	4912662101621310070	15	52
-6180770432187670492	1526271875777244526	9	8
4577756669434430492	1526271875777244526	9	8
-6908492054305525336	5753763298208735006	12	26
8620464239940309654	2491998502196946225	14	42
-7977210264177296693	8287745378248553789	14	43
493174531780431209	6550796982592730576	14	43
-2069670121450713822	-5064098182903041840	15	51
5058290041695293635	7326875935706676482	11	17
493170750987261931	3464211861741338456	13	34
-2562677400789225176	-7229122234444738036	9	8
8110683780533247077	-2077946969158575359	16	60
106321568297500408	8287745378248553789	14	43
8114334246040197037	-5711997489788294977	15	51
-6390508747231021815	1526271875777244526	9	8
-5937753384192341705	-8546626484350481403	10	9
-3366378723311236220	-7173683247164420531	11	18
-9018645158757948668	1526271875777244526	9	8
3872251605365474322	7325830813958973150	12	25
-3366374940400529146	8123358751276629834	12	26
5979819462297651358	1526271875777244526	9	8
-6389645817202075662	-7229122234444738036	9	8
-7351491964929753462	1526271875777244526	9	8
3855638589649607236	6550796982592730576	14	43
8153286558147625647	-8137584974122662092	14	43
-6736475226527345103	1526271875777244526	9	8
-2326425481562496079	7325830813958973150	12	25
-6184780800662416118	1526271875777244526	9	8
3801241538012683302	7326875935706676482	11	17
611735833972244757	1526271875777244526	9	8
899963591657869488	1526271875777244526	9	8
-3068249991440511291	8124257509195293846	13	34
102450635965631446	8287745378248553789	14	43
3691051948879647787	1526271875777244526	9	8
883174543356186342	1526271875777244526	9	8
-1176365895815581818	-1670719966832930144	11	24
3676549996705516157	-6110323751301084485	13	33
3858547881582420158	5753763298208735006	12	26
1824874479731976124	-2502103907318661911	13	35
-6903354411558796154	5753763298208735006	12	26
4850550503033939885	-8571829907641212501	16	59
-1141412979402877669	1526271875777244526	9	8
924150081809789769	1526271875777244526	9	8
3994941287062471700	1526271875777244526	9	8
-143905633747271499	-2047796860535679524	15	51
886083867503359004	1526271875777244526	9	8
-1621149505780712490	8287745378248553789	14	43
3824521889937079657	-3855604382815201999	15	51
3677207488816263303	-8546626484350481403	10	9
-4277756912139109011	3570439050552151534	12	27
-7353802102812307420	1526271875777244526	9	8
3820857371023914657	3464211861741338456	13	34
-4277758358321731601	8123358751276629834	12	26
-1405255182060419421	2668074036030438672	12	25
653933958783813684	4885281803576604551	15	52
653935400936559286	1526271875777244526	9	8
-8372677353189636561	-2502103907318661911	13	35
5505398119466171492	5675260193225989033	15	52
-2328650746491933405	-5711997489788294977	15	51
8172214065761280416	-2502103907318661911	13	35
6592998845555982470	-7173683247164420531	11	18
8352410580667176891	1526271875777244526	9	8
-2267984633740144343	4912662101621310070	15	52
8346651858773019117	1526271875777244526	9	8
8306844567617466048	1526271875777244526	9	8
6286063335577479521	3911317517361566372	10	16
-6907948516985789254	-3855604382815201999	15	51
687928996787525091	1526271875777244526	9	8
8309934005169382664	1526271875777244526	9	8
-3065971947860049833	8287745378248553789	14	43
8762410675564468534	-7183523572994776680	17	68
-8375591076975035179	1388635841474298747	12	26
8167517542577227020	2668074036030438672	12	25
8306841888477377602	1526271875777244526	9	8
-2330979454613634163	-2502103907318661911	13	35
8759310273880541308	-1245983525525651137	12	25
-6394205288012597298	-6188816532915686489	17	68
-3063802125623595271	-2502103907318661911	13	35
8170694524867369818	3570439050552151534	12	27
6589508977115593340	2666757308101207756	13	33
8347678786809049879	1526271875777244526	9	8
7701734750259886121	2668074036030438672	12	25
685015274610634521	4530625241604008029	16	60
701808704433336655	3911317517361566372	10	16
4199455186111653347	1526271875777244526	9	8
-691424279987489118	7326875935706676482	11	17
6353128864937225278	-8546626484350481403	10	9
6179062048615678689	1526271875777244526	9	8
3334280833589878978	2491998502196946225	14	42
-1821689302890827689	8287745378248553789	14	43
-6390193889826929952	-7229122234444738036	9	8
3348782907096317588	3570439050552151534	12	27
715962456706815648	3464211861741338456	13	34
101867792270892740	8124257509195293846	13	34
5618464654112255627	1526271875777244526	9	8
-3068797856867066921	6781472898323231415	14	45
-1979310752070826325	5753763298208735006	12	26
612278476907058183	4912662101621310070	15	52
1824331492247679662	3464211861741338456	13	34
-2326968881464314205	-2502103907318661911	13	35
4212597066832789839	-6188816532915686489	17	68
-2232409525638666592	6550796982592730576	14	43
4200411742709178137	-7229122234444738036	9	8
-2746530504905175728	-7173683247164420531	11	18
-1620566454849933628	-2502103907318661911	13	35
3334938359525055032	2491998502196946225	14	42
-2746528650669729838	7326875935706676482	11	17
-6551694539421147509	1526271875777244526	9	8
-2264115077278538745	-7229122234444738036	9	8
-6320737463860966027	7326875935706676482	11	17
6851585238979428667	1526271875777244526	9	8
-1979972640091063215	-2047796860535679524	15	51
929680772735641137	1526271875777244526	9	8
-6915411184076813444	5753763298208735006	12	26
-487417107924071734	-2502103907318661911	13	35
-867824807837668234	3570439050552151534	12	27
4995685082852317537	-8546626484350481403	10	9
-867824325876517132	3570439050552151534	12	27
-3881708024029212454	-8546626484350481403	10	9
6700330337251719084	-2077946969158575359	16	60
5968402651284742658	1526271875777244526	9	8
-3882774055932129652	7326875935706676482	11	17
-7231556216724117853	4190975404330943378	12	31
7662053492987457730	8123358751276629834	12	26
-7216780272370732014	3464211861741338456	13	34
-7213603202712786364	-5711997489788294977	15	51
-6874541879032064341	5753763298208735006	12	26
3829946390731600531	3464211861741338456	13	34
5495118516637193122	6703988564554266031	14	44
3832274118652959805	-2502103907318661911	13	35
-132805482116371927	-2502103907318661911	13	35
-5926945674125104799	1526271875777244526	9	8
-6721931479336527413	1526271875777244526	9	8
7694261105739372527	8123358751276629834	12	26
7663084816368847416	4122624909966342843	12	25
2519450372910448268	2668074036030438672	12	25
-3355281375810948784	3464211861741338456	13	34
2506842860878946522	-8320833045271935090	13	37
-6721933193984949431	1526271875777244526	9	8
-6869704540920221177	5753763298208735006	12	26
-3878499667098424800	-8546626484350481403	10	9
-6581471546269129822	-5391728355049685542	16	59
-5362176357420748763	1526271875777244526	9	8
-6875568841419953071	5753763298208735006	12	26
2318142582122075165	1526271875777244526	9	8
-8120270643810910131	-7173683247164420531	11	18
499272878721974931	-2502103907318661911	13	35
5734126849637904277	1526271875777244526	9	8
1834333480835456360	3978554926940543744	15	51
6457705519433089218	-8546626484350481403	10	9
2378543346567125713	3464211861741338456	13	34
5592529598127293923	4885281803576604551	15	52
-5932081941282612145	1526271875777244526	9	8
-7970297052817584041	8287745378248553789	14	43
-3351269707051776898	3464211861741338456	13	34
1028443396239770024	5753763298208735006	12	26
93560476559289216	3464211861741338456	13	34
-2571748896493406950	5125541582210564031	16	60
93563428159533314	8287745378248553789	14	43
2313410870541512881	1526271875777244526	9	8
830036889854941118	-2502103907318661911	13	35
-8086994280062642606	8123358751276629834	12	26
3315755445279064499	939964332088467950	17	67
6454725826535995960	3180452720150083827	13	34
5589250870302244633	1526271875777244526	9	8
5597403151269159247	3542958177792046938	16	51
4659305468003561734	1526271875777244526	9	8
-6310187161138661327	-8546626484350481403	10	9
-4285803627973288645	3570439050552151534	12	27
3987793234451676864	1526271875777244526	9	8
-7226560755627256947	7004111585677983185	17	58
-2754001439672180074	-7173683247164420531	11	18
-1610291800256823038	-2502103907318661911	13	35
3987796050723021890	1526271875777244526	9	8
-877829562285243472	-2502103907318661911	13	35
-8073712749148851458	4446046946002182807	11	28
3318664771556424521	939964332088467950	17	67
933550329478255391	1526271875777244526	9	8
-2749587654354582870	-8546626484350481403	10	9
-1610288021879891072	-2502103907318661911	13	35
-2058253375394584642	3570439050552151534	12	27
-6305632230109554675	-6188816532915686489	17	68
5219104416908902576	1526271875777244526	9	8
5210947753582239462	1526271875777244526	9	8
2727740722595533134	4530625241604008029	16	60
2730900129992675096	4885281803576604551	15	52
8586653648840705067	-8546626484350481403	10	9
6190444774097315965	-1245983525525651137	12	25
6341712049658562210	7326875935706676482	11	17
704545641034759228	3570439050552151534	12	27
-665063124198094303	-6188816532915686489	17	68
663331268561990368	1526271875777244526	9	8
-7231009038324550735	3570439050552151534	12	27
8118689043220427683	8287745378248553789	14	43
2732472450147956194	4530625241604008029	16	60
-882423530339212404	-2502103907318661911	13	35
-3355824775519837118	1526271875777244526	9	8
-5927493333413872525	-7173683247164420531	11	18
-1416352508630582153	3570439050552151534	12	27
5362862721850315488	1526271875777244526	9	8
-498553542767321002	-2502103907318661911	13	35
-2458226258554634204	1526271875777244526	9	8
-651781594766987635	7326875935706676482	11	17
5214230879470593052	1526271875777244526	9	8
-664119759609909029	-8546626484350481403	10	9
503722394074768047	3464211861741338456	13	34
8313726421376488468	1526271875777244526	9	8
8613000678606940114	-8546626484350481403	10	9
-2221273155212653508	-2502103907318661911	13	35
8143569892355730793	828588425719391708	14	42
8581815199399862407	-7173683247164420531	11	18
601475233035203665	-8546626484350481403	10	9
-2336401602199794569	-2502103907318661911	13	35
2816812772404895330	-8546626484350481403	10	9
-5540099887361289473	8123358751276629834	12	26
1029021567139796154	6550796982592730576	14	43
-3076259718195381375	-2502103907318661911	13	35
6613451771342472787	-6188816532915686489	17	68
-2472305354043524627	1526271875777244526	9	8
8318723047180198202	1526271875777244526	9	8
8768376753633414222	1526271875777244526	9	8
601473789007343315	1526271875777244526	9	8
-3076260202301791997	8287745378248553789	14	43
4963703483663070251	1526271875777244526	9	8
-6379659221169162188	1526271875777244526	9	8
-2340067561673209921	-2502103907318661911	13	35
-2336404278890604811	4714214561926629207	12	29
-6379658874469408074	-7229122234444738036	9	8
2817844130136073368	2943473737272975226	12	24
-2374433152743272032	-2502103907318661911	13	35
6626734400559866623	8123358751276629834	12	26
3786194471092815789	6703988564554266031	14	44
659461710861617102	3911317517361566372	10	16
-4285220990344968151	-8546626484350481403	10	9
-2255280403896017197	1526271875777244526	9	8
-2468762709607038185	1526271875777244526	9	8
4959534726062510215	-7173683247164420531	11	18
-877286232369637726	-2502103907318661911	13	35
3834499676855407279	3464211861741338456	13	34
-5535825497858591149	-2502103907318661911	13	35
